net,length_um
_1054_,34.735µm
_1557_,34.7µm
_2251_,34.655µm
_0030_,34.57µm
_1623_,34.56µm
_0036_,34.51µm
_1655_,34.44µm
_1459_,34.33µm
_0318_,34.23µm
res_index\[8\],34.2µm
_1969_,34.185µm
_1829_,34.08µm
_1777_,34.02µm
_1497_,33.84µm
u_mac_3.temp_res\[3\],33.645µm
_1280_,33.62µm
_0842_,33.49µm
_2455_,33.43µm
u_input_buffer.mem\[19\]\[6\],33.36µm
u_mac_3.temp_res\[14\],33.26µm
_1086_,33.185µm
_1481_,33.145µm
_2147_,33.07µm
_0995_,33.06µm
_1853_,33.06µm
_1562_,32.97µm
_2345_,32.825µm
_0774_,32.77µm
u_input_buffer.mem\[23\]\[5\],32.77µm
net694,32.68µm
_2330_,32.67µm
u_input_buffer.mem\[0\]\[2\],32.665µm
_0821_,32.64µm
_1462_,32.58µm
res_index\[6\],32.565µm
_1030_,32.475µm
_0605_,32.41µm
_2042_,32.41µm
_2198_,32.34µm
u_mac_1.temp_res\[9\],32.245µm
_2387_,32.23µm
_1186_,32.11µm
_2412_,32µm
_1424_,31.93µm
_1605_,31.93µm
_2476_,31.925µm
_1276_,31.81µm
_1731_,31.8µm
_2230_,31.785µm
_1337_,31.76µm
net589,31.76µm
_0785_,31.69µm
_1287_,31.585µm
_1500_,31.56µm
_1622_,31.56µm
_2224_,31.53µm
u_input_buffer.mem\[17\]\[3\],31.46µm
_1788_,31.44µm
_2394_,31.435µm
_2312_,31.35µm
u_input_buffer.mem\[9\]\[3\],31.345µm
_1005_,31.26µm
_1489_,31.26µm
_0440_,31.22µm
_0989_,31.14µm
_1638_,31.14µm
_1458_,31.135µm
_1770_,31.07µm
_2210_,31.045µm
u_input_buffer.mem\[11\]\[6\],31.045µm
_0880_,30.785µm
_0473_,30.72µm
_1742_,30.625µm
_0795_,30.62µm
u_mac_3.temp_res\[13\],30.62µm
_1907_,30.485µm
_0954_,30.42µm
read_shift\[9\],30.3µm
_1531_,30.125µm
_1247_,30.12µm
u_input_buffer.mem\[14\]\[7\],30.115µm
_1305_,30.07µm
_2216_,30.06µm
u_input_buffer.mem\[5\]\[7\],30.01µm
_1942_,30µm
u_input_buffer.mem\[26\]\[1\],29.995µm
_1390_,29.88µm
_1240_,29.78µm
u_input_buffer.mem\[27\]\[7\],29.76µm
u_input_buffer.mem\[6\]\[3\],29.71µm
_2281_,29.685µm
_2135_,29.65µm
_2016_,29.55µm
ram_addr\[2\],29.43µm
_1723_,29.405µm
_0417_,29.385µm
_1048_,29.28µm
u_input_buffer.mem\[9\]\[4\],29.265µm
_1087_,29.12µm
_1262_,28.98µm
net1218,28.98µm
net1230,28.945µm
_0840_,28.93µm
_1792_,28.82µm
u_mac_1.temp_res\[11\],28.82µm
_2552_,28.81µm
_2266_,28.8µm
_0904_,28.58µm
_1265_,28.51µm
_1069_,28.47µm
_1760_,28.36µm
_1157_,28.28µm
_1439_,28.225µm
_1289_,28.21µm
_1181_,28.1µm
_1007_,28.065µm
net600,28.05µm
_1140_,28.02µm
_1404_,27.97µm
input_data[0],27.96µm
_1475_,27.9µm
_1560_,27.9µm
net729,27.795µm
_1850_,27.79µm
_1315_,27.75µm
_1080_,27.715µm
_2384_,27.68µm
_2553_,27.62µm
_1129_,27.61µm
_0897_,27.475µm
_2358_,27.38µm
_1145_,27.36µm
_1270_,27.36µm
_1340_,27.36µm
u_input_buffer.mem\[14\]\[6\],27.31µm
_1090_,27.295µm
_1870_,27.27µm
_0876_,27.26µm
u_mac_2.temp_res\[3\],27.25µm
_2193_,27.12µm
u_input_buffer.mem\[1\]\[7\],27.025µm
_2275_,26.995µm
_2535_,26.985µm
net1068,26.905µm
_0781_,26.89µm
_1691_,26.89µm
u_input_buffer.mem\[30\]\[1\],26.88µm
ram_addr\[1\],26.875µm
_1350_,26.77µm
_1989_,26.76µm
u_input_buffer.mem\[21\]\[1\],26.71µm
_2120_,26.68µm
_1863_,26.66µm
res_index\[4\],26.58µm
u_input_buffer.mem\[8\]\[3\],26.515µm
_0765_,26.495µm
_1505_,26.415µm
_2126_,26.36µm
u_input_buffer.mem\[20\]\[6\],26.355µm
_2254_,26.345µm
ram_addr\[0\],26.31µm
_1168_,26.305µm
u_mac_3.temp_res\[17\],26.29µm
u_mac_2.temp_res\[0\],26.22µm
_0957_,26.17µm
_1730_,26.16µm
_2152_,26.11µm
_0742_,26.1µm
_1644_,26.04µm
_1831_,26.04µm
_2340_,25.94µm
u_ctrl.k_cnt\[2\],25.83µm
_0915_,25.76µm
_0438_,25.74µm
_0532_,25.74µm
_1141_,25.695µm
_1849_,25.66µm
net1144,25.63µm
_1666_,25.62µm
u_input_buffer.mem\[15\]\[4\],25.62µm
_1302_,25.57µm
_1791_,25.57µm
_0806_,25.545µm
_1722_,25.485µm
net624,25.485µm
_0782_,25.38µm
_0940_,25.375µm
_1113_,25.32µm
_1674_,25.32µm
_1516_,25.235µm
u_ctrl.input_cnt\[1\],25.21µm
_1035_,25.2µm
_1456_,25.155µm
u_input_buffer.mem\[10\]\[0\],25.155µm
_2138_,25.15µm
_0783_,25.135µm
_1493_,25.13µm
_1075_,25.12µm
_1216_,25.11µm
_1753_,25.1µm
_2049_,25.095µm
_1485_,24.845µm
_1544_,24.775µm
_0762_,24.725µm
_1724_,24.7µm
_0770_,24.67µm
_2093_,24.63µm
_2489_,24.505µm
_1912_,24.495µm
_1243_,24.49µm
_0922_,24.415µm
clknet_1_0__leaf_clk,24.28µm
_1855_,24.24µm
_2108_,24.235µm
_2066_,24.225µm
